full_text,sent_score
U S presid donald trump decid extend unilater econom sanction syria anoth year despit ong,1
current receiv around x social request outsourc shop work wonder whether that trend,1
final transport migrantwork MP free huge distanc perman protect,-1
beauti face mask covid protect zazzl mask corona coronaviru facemask floral beauti covid stayh,1
watch whi bame peopl impact corona viru thi GP lay clearli So mani truth bomb C,1
corona lockdown past A cop instantli wield lathi doctor duti rider identifi,-1
current receiv around x social request outsourc shop work wonder whether that trend caus corona crisi lot project get hold outsourc shop scrambl new project anyon similar experi atm,1
alli sad train accid aurangabad trainaccid aurangabad corona extendlockdown,-1
which year coronawillendsoon corona,0
IT take the nurs TO lead the way mauswohn nurs krankenschwest gesundheit health woman medicin notebook notizbuch corona findyourth gift,1
startup risk clash with appl googl over viru app royalti pandemictech coronaviru coronavirusoutbreak covid covid viru corona pandem quarantin socialdistanc batflu wuhan medtwitt batflu wuhan,-1
fantast front page today No corona amandaholden maurahiggin veday veday vedayathom,1
I think bcg vaccin tuberculosi brought u target effect still time signific differ western EU countri US canada japan anyhow EU NA must consid give bcg everyon freeli covid corona,1
A good muslim abus other physic verbal worth minut watch srilanka lka covid LK covid SL corona coronaviru ramadan,1
breakingnew after israel countri also creat corona vaccin watch video coronaviru corona vaccineswork vaccin result israel covid covid fightagainstcoronaviru fightagainstcovid indiafightscovid,0
rahul gandhi corona crisi relief materi sent wayanad relief materi sent amethi assur,1
last night I dream coup insid tori parti the anger fail corona pandemi,-1
US presid trump wors corona virui,-1
for advic follow u Or visit u digitalmarket socialmedia onlinemarket covid corona covid outbreak quarantin coronavirusupd covid crisi coronavirusmedicin healthserviceexecut who worldhealthorgan,-1
Go corona Go covidduti total suffoc dutymood covid corona paramed quarantin nurs ambul,-1
woldredcrossday celebr everi year mark birth anniversari henri dunant founder red cross committe amp offer tribut red cross volunt let salut red volunt r fight corona stayhom,-1
Is open liquor shop necessari now the last respect On our govern gone now good job enowaytionplu,1
U S presid donald trump decid extend unilater econom sanction syria anoth year despit ongo covid outbreak usa corona damascu,1
Do listen dogri song corona singer deserv big applaus,1
alway good laugh take look answer get wwg wga qanongermani corona love,1
We open monday wednesday friday lockdown capetown durban eastlondon branch pm day mask fabric avail covid corona ankara textil,-1
uber lost billion Mr khosrowshahi claim would profit uber billion left,1
doctor test posit guwahati govt hospit seal guwahati covid outbreak covid covid pandem ncov viruscorona fightcovid corona coronacrisi coronaviru coronavirusoutbreak coronaviruspandem,1
putin win look far usa fallen gop fail arpx corona covid arleg,-1
UP congress issu UP mitra helplin labor needi trap corona disast covid coronaviru coronaviru,-1
corona infect reach bangladesh report death new case last hour total death toll recov total recoveri test conduct last hour lab across countri say dgh,-1
when entir world lockdown fight corona kimsbhubaneswar relentlessli care critic ill child,1
corona death record last three day hospit gov,-1
one domain corona given posit result road accid data releas uttarakha,-1
kindli call srpf crpf seal corona spread zone muhammadali mahim dharavi given order quarantin close contact test let stay slum fast covid test result necessari,1
I urg u Cm Ji pleas issu order open opd doctor there patient need treatment corona pleas make guidelin framework treatment,-1
how overland travel deal with the corona crisi travel overland corona lockdown overland,-1
alk migrat women see hour corona covid india covid migrationandwomen,0
anti hindu riot fake bias call journalist all world one commun attack commun peopl spread crime civil war like situat covid fridaymotiv corona australia usa uk franc spain itali,-1
clarif ambigu buri ash muslim succumb covid request revers stanc b,1
coronaviru destruct nuclear weapon the destruct caus nuclear weapon last period amp limit area but distress caus corona go spread limitless area continu infinit period covid,-1
beauti face mask covid protect zazzl mask corona coronaviru facemask floral beauti covid stayhom via,1
america full retreat multilater china ill suit corona crisi make break moment EU write gile merritt are european leader challeng rethink strengthen union,1
even papaya test posit corona coronaviru covid coronahoax fakecrisi fakepandem emptyhospit filmyourho,1
eas lockdown monday th may busi stay afloat NO,-1
dear sir take action hellpnonctet teacher,1
save video comput twitter might take It call plan demic judi M phd expos plan futur covid covid coronaviru corona pandem,1
hello dead bodi japan I guess hide correct It I must overlook dead are walk around death pleas let know find em corona bcg,-1
relief corona spain first time lowest mortal week corona covid spain,-1
punjab tiktok star noorpreet complaint misus curfew relax punjab CM and CM repli,-1
A rustic woman question tamil nadu govern corona amp reopen tasmac liquor outlet,-1
with god grace th day recoveri thank good wish bless love DK surinda corona covid http,1
itaewon clubber covid infect sound alarm southkorea itaewon covid coronaviru corona,-1
good news sure six corona posit patient recov uttarakhand dehradun district while state recoveri rate case amp recoveri doon district whop recoveri rate case amp recoveri,1
new covid case may countri new covid case sourc corona,1
A pandem took expos hollow societi corona aurangabadtragedi,1
more modi magic govern think one pollut river world cure coronaviru india gang gangaj indiafightscovid covid covidiot covidiot hindu hindu bjp bjpfailsgujarat corona coronahoax,-1
it corona time,0
tanzania magufuli corona test qanon realdonaldtrump the presid tanzania trust who fake,1
S korea issu monthlong suspens advisori club bar southkorea covid coronaviru corona,1
standalon covid hospit bed critic unit kandham A tripartit understand governm,-1
kerala bestuu It yet anoth day new case recoveri today current activ case corona,1
the pandem fake clapforourkeywork corona coronaviru covid coronahoax fakecrisi fakepandem emptyhospit,-1
thi good news sure six corona posit patient recov uttarakhand dehradun,1
corona covid covid report utc confirm case recov death,0
Mr I want strong indian leader stand front diseas collector farmer the zon,1
stay home stay safe corona covid,-1
pray corona pleas stay home,0
crash oder boom that question ub dw group dekabank dzbank volksbanken boersen deutschebank commerzbank sparkassen postbank ing deutschland boers faz aktien corona unioninvest allianzgi de boers dw deutschland,-1
Is american want anoth stimulu check american get anoth stimulu check period thi still democraci the peopl still voic corona coronaviru covid covid covid,1
bangladesh govern decid extend gener holiday may next bid tackl worsen,-1
thank much support each donat matter help u help pleas click li,1
freedom anyon covid corona covid,0
corona jammu updat No work No money No ration migrant labour jammu silent leav state foot met sanjay along other migrant return back adm NH say wl surviv without food,-1
will post covid india differ the corona pandem rattl everyon p,1
even though number corona case increas everi day lockdown loosen whole india Is festiv come lockdown corona wrongdecis polit,-1
hank much support each donat matter help u help pleas click link donat childhelpfound sdg covid corona donat lavinatandon lockdown,1
and mani colleg take back detain student back colleg ke shroff colleg approv take,0
public transport servic remain suspend across bangladesh may bid contain spread,0
love time corona freeform ordina una comedi sull amor ai tempo del covid corona freeform ordina comedi,1
distanc make u stronger practic follow abid socialdistanc part flattenthecurv poor,1
you want answer coronaviru Go plandemicmovi com If solv everyon confus pandem absolut hopeless covid covid corona pandem,-1
mood corona,0
the worldportsconfer antwerp move march june consequ corona In meantim,0
str call fan phone wish speedi recoveri corona heartwarm gestur,-1
whenev someon join qalandar becom qalandar heart one alway stood side,-1
vaccin adjuv market increas use vaccin healthcar healthcarehero healthylifestyl biolog medicin covid covid covid coronaviru corona fridaymotiv fridaythought mothersday worldthalassemiaday,1
liquor shop open delhi aap oppos bjp In UP open bjp oppos congress In punjab open congress oppos aap In maharashtra open shiv sena oppos bjp pahl decid karlo polit karni h ya economi bachani h liquorshop corona,0
plant shadetre corona list shade tree n pakistan plant tree corona contribut,1
As per who relax lockdown make situat even wors get readi wors yet come stayhom staysaf covid flattenthecurv pandemicemerg corona indiafightscorona,-1
thi nation outcri zora neal hurston right If silent pain kill,-1
senior doctor make junior doctor handl covid patient how mani oper ventil how mani intub patient Do enough experi treat infecti diseas the govt gujarat run idiot corona ahmedabad,-1
A great interview pre amp talk covid kit child hospit,1
our immun system v coronaviru coronaviru covid corona viru ru coronav quarantin stayhom socialdistanc staysaf pandem corona newyou contact u improv immun system immunesystem health immunesupport well,1
last night I dream coup insid tori parti the anger fail corona pandem boil remov bori bori johnson riden roughshod parti countri long enough announc If,-1
watch today sp interview ask Qs abt th amend amp role govt oppo,-1
thi sad true disturb time migrantwork extendlockdown gujarat modifailsgujarat modib,-1
th draw corona chan absolut noth suspici she take opportun,1
check latest perhap new norm corona covid respons updat health hygien hygienicdoor door grpdoor,1
worldportsconfer antwerp move march june consequ corona In meantim seri webinar set stay connect regist first one may th amp tune proudpartn,0
itali claim world first covid vaccin work human itali covid pandem coronaviru covid coro,0
coronavirusupd govt enhanc test facil total test far conduct coronavirusoutbreak coronavirusinpakistan coronaalert corona covid covid pakistan coronaviruslockdown coronawillendsoon,1
one lead u salaah the one perform nikah one make janaza salaah inshaallah dua kabar tawakulorg chariti helpinghand corona covid covid cov,1
the corona test fals posit rate coronaviru covid coronahoax fakecrisi fakepandem emptyhospi,-1
shri rahul gandhi clearli point need urgent stimulu packag migrant labour SP,-1
outbreak outbreak paint surreal acryl canva duckylemon barbarajohannabilleit artist painter,-1
sad true disturb time migrantwork extendlockdown gujarat modifailsgujarat modibestpmev corona,-1
C troubl u congress communist corona,0
shri rahul gandhi clearli point need urgent stimulu packag migrant labour spine countri what would without govt need action suggest asap rahulspeaksforindia rahulfightsforindia covid corona,-1
massiv stimulu support U S economi coronaviru crisi caus treasuri borrow record trillion quarter the depart monday announc total actual trillion stimuluscheck treasuri crisi covid corona,1
corona test fals posit rate coronaviru covid coronahoax fakecrisi fakepandem emptyhospit filmyourhospit nh hoax falseflag ID event clapforourkeywork stayhom stayhomesavel dancingnurs G billgat vaccin,-1
due current situat world wide move workshop date yet decid better b,1
As per polici fight covid patient In post lockdown era poverti unemploy,-1
unbeliev We like reach posit corona,1
either u brain india hater thi messag bhai ghar par raho corona father infect home safe thi simpl part awar program,-1
can sleep current drink donjulio amp corona,0
corona indonesia total death recov activ total test,1
corona lockdown the tasmac liquor shop near bu stand crowd Go announc cop loud,-1
guess bgm corona covid ayyapanumkoshiyum,1
go live pm log FB page join india lead artist perform live ushauthup singerushauthup covid corona indiafightscorona eemastayathomeconcertseri live eema lockdown,0
sir No polici chang thi practic stop due fear corona In futur bodi given famili,-1
I know african politician behav like fake african pastor prophet pandem you see outsid take care peopl they fear corona lose support rutocar,-1
biggest concern await world wide Cr plu amp india Cr alon populationexplos We need populati,1
covid US offic issu stark warn govern law enforc continu abus public w,-1
I wish I could hv known fact academ period whatev answer must done Q today I would hv gold digger everi stage academ least rahulfightsforindia rahulspeaksforindia sonamkapoor corona,-1
amp P eugreend discuss itr mep mention buildingrenov key sector greenrecoveri corona still EU submit long term renov strategi far construct energyeffici,1
will soap amp salt coat mask effect keep corona viru bay curiou get expert advic ordinar,1
watch polic offic begin speak out now corona effect via corona polic usa,0
corona state ut averag MH WB GJ TN etc state ut averag MP MH GJ WB PB extendlockdown,0
thank effort but socialdist amp facemask pic Is true corona pl follow follow,1
On worldredcrossday gratitud volunt work tirelessli selflessli throughout world,1
awar villag pl ask sarpanch secratari patwari teacher spread awar much It enabl peopl understand live corona without spread fightagainstcoronaviru,1
there pharamcist invent medicin,1
rahul gandhi corona crisi relief materi sent wayanad relief materi sent amethi assur,1
corona socialdistanc while battl covid get long handhygien ensur,1
the corona crisi bring opportun So S wag energi AG amp deba quickli came agreement truffl also get digit convert read full interview websit ZP deba,1
even papaya test posit corona coronaviru covid coronahoax fakecrisi fakepandem emptyhospit filmyourhospit nh hoax clapforourcar falseflag ID event stayhom stayhomesavel dancingnurs G billgat vaccin vaccin,1
supremecourt monday issu notic plea medium organis sack employe,-1
vidarbha nagpur death D recov R buldhana D R yavatm D amravati D,-1
He said never go back delhi He want delhi search job covid india coronawarrior coronaviruslockdown corona,-1
trump receptayyiperdogan borisjohnson recent releas corona covid treatment dont us mask are chinaviru free contrari putin protect last day dissapear russia report huge coronacas what secret stayathom stayhom,-1
pmcaresfund scam they r nt readi audit neither use money relief work covid coronaupdatesinindia corona pmdoesnotcar covid india,-1
simbu call simbuanandan presid fan club cuddalor get know latter quar,1
most case corona palgharmoblynch aurangabadtrainaccid dharavi udhavthackeray whole maharashtra wobbl situat,1
corona turkey prison silivri prison more covid case report turkey overcrowd prison proper measur for updat joint initi ngo,-1
horribl situat sion hospit mumbai patient treatment sleep next dead bodi chinaviru C,-1
Q you shown way reviv rural economi give fold jump mnrega job statist,1
join tmi team today commun facilit tailor day corona job nonprofit makeadiffer corona,1
happi get pass without studi singl word exam amaz now wait result exam corona happi,1
can world pull togeth develop corona vaccin the want bring togeth import pla,1
year old boy india innvent gadget prevent corona covid worldwid lockdown smartciti jaipur technolo,1
In time corona water oper hold amp financeforwat becom even critic pleasur welcom climat fund manag membership they use blend financ vehicl mitig effect amp build resili climatechang,-1
oday one ask contribut develop nation blood sweat die hunger amp train accid time gov arrang airplan respons carri corona outsid sad plz think labour also,-1
with declin pollut view get magnific watch know covid corona covid outbreak quarantin coronavirusupd covid crisi coronavirusmedicin healthserviceexecut who,1
kolt patil k stargaz bavdhan pune bhk bhk bhk residenti project properti call F,0
appar travel ghar idhar udhar extendlockdown covid coronaviru fridaymorn ramadan jummahmubarak corona migrantwork lockdownindia corona,1
kolt patil k stargaz bavdhan pune bhk bhk bhk residenti project properti call for plan layout cost sheet check link wfh corona coronaviru,0
flower remind childhood throwbackthursday flower photographi corona mai twitter,0
corona world cup cartoon coronaoutbreak covid outbreak worldcup,-1
it get real In corona viru,1
today one ask contribut develop nation blood sweat die hunger amp train accid time gov arrang airplan respons carri corona outsid sad plz think labour also,-1
stay strong stay healthi corona support,1
american dollar lose altitud trade optim push eur usd ahead import US nonfarm payrol data schedul releas GM forex nfp payrol money corona usd,1
covid G conspiraci theori social network analysi twitter data open access,0
year old boy india innvent gadget prevent corona covid worldwid lockdown smartciti jaipur technolog iot startup stayathom staysaf healthfirst quarantin sanit mask safeti socialmedia socialdistanc friday post vgonsecuritygroup,1
the kid bear brunt covid covid inkenya corona kariobangi citizen news alert bless sugoi hazard We,-1
good news sure six corona posit patient recov uttarakhand dehradun district while state recoveri rate case amp recoveri doon district whop recoveri rate case amp recoveri,1
alon I littl togeth creat impact coronavirusoutbreak corona staysaf stayhom rotari rotari,-1
rahul gandhi answer question today press confer wish bashan veer pradhan sewak sam,1
ahul gandhi answer question today press confer wish bashan veer pradhan sewak rahulfightsforindia rahulgandhi rahulspeaksforindia lockdownindia covid coronaviru migrantwork corona redcrossday coronaviru covid corona,1
what realiti corona viru part In urdu watch complet video coronaviru coronainpakistan corona coronawarrior,0
guy you get use face cover instead surgic thing they got free ship,1
I place visit weekend have look tell go weekend lockdown quarantin,1
sorri not read let stop give attent petti greed rather focu find way,-1
corona hit consum loan german consum loan gt yoy lockdown data show,0
mayb rashford must brink readi tournament start basic manutd abl finish season pogba rash readi crazi think bruno play yet premierleagu corona pldk mufcdk,1
with new corona viru case total posit case reach afghanistan afghan die pandem other recov far moph,1
live radio new style spraakmak radio corona,1
EU US said japan suffer dead peopl lt dead yet when happen next month year mayb decad We bcg vaccin west EU US also long expos corona viru variant year corona japan,-1
corona viru mainli harm poor peopl,-1
give practic pager snapshot corona crisi impact migrat relat theme labor migrat,-1
coronavirusupd govt enhanc test facil total test far conduct,1
total TN case chennai almost current activ TN case chennai almo,-1
coronaviru case In countri To Be At It peak In june say aiim director covid covid corona coronaviru coronapandem fridayfeel aiim,1
whi take viru bring famili back togeth whi take viru bring commun back togeth,0
patient discharg today total case recoveri death today total death toll TN tamil,1
taiwan got head start smash viru corona covid,-1
all india govern nurs feder gener secretari GK khurana tell ian the mcd hospit nurs go long time corona time made thing difficult even coronaviru covid,-1
taiwan got head start smash viru corona covid,-1
imagin risk life front line treat covid patient come home famili forcibl remov corona tracer expos end corona trace task forc,-1
instal aarogyasetuapp join fight corona coronawarrior stayhomeindia stayhomestayupd stayathomesavel workingfromhom coronaupdatesinindia covid covid india covid india covid outbreak covid stayfitfromhomechalleng,-1
the road total tyranni holland big event vaccin and need vaccin,1
differ way blend oil pastel make art save life other oil pastel paper youtub art artwork artsupport art artsi oilpastel pastel paint paint stayhom corona peac calm surreal freedom,1
corona forc policymak balanc concern publichealth access intern protect but,-1
remot team visit construct site wherev In time corona remotework import ever but upsid solut learn successstori founder,1
A cat franc infect coronaviru thi first report case countri lead vet advis peopl ill limit contact pet dinbeat viru corona cat safe coronaviru case pet,-1
beinghumbl thi backtothefutur noquarantineformind inittogeth corona ageofaquariu D greataw,-1
dure lockdown paster eagerli wait corona end miracl magic heal sick p,1
the amaz beauti boulevard berlin I hope life soon return beauti shop center ber,1
here treat enjoy boulevard berlin berlin boulevardberlin steglitz corona,1
pandem declin around world and grow pakistan night grave littl caution import put everyth unit state israel avoid care covid coronaviru corona,1
Mr the peak season corona may come anytim the govern prepar strategi,1
who listen languag who repres our medium peopl alway busi undeclar competit they prais govern get advertis TV channel you came trp media divert corona issu creat problem,-1
best edit I seen have look bhai P C unknown would sure like know though I sure mani peopl would artist extendlockdown supermoon bitcoin migrantwork covid fridaymorn fridaymorn rabindrajayanti corona covid,1
discuss stimulu program must draw lesson program analys environment impact ecolog,0
,0
meanwhil mani go bed hungri abus senior die care home peopl young amp old commit suicid corona continu kill ren problem spare,-1
corona see what I celebr coronaviru extendlockdown vizaggasleaktragedi saysormx cloybaeksang n,0
chines tourist sand dune near dunhuang gansu provinc china with travel hold I experi dive archiv creat visual associ corona effect societi asia china dunhuang sanddun desert gansu,-1
In brazil new coronaviru infect diagnos also peopl die consequ viru the death toll thu make countri far hardest hit countri latin america covid covid corona,1
let pose news pleas turn left right cut now may stand watch care corona,1
otal recov corona patient risen far ministri health lka corona covid,1
new covid case may countri new covid case sourc corona covid coronavirusupd covid coronaviruspandem coronavirususa covid covid coronaviru sarscov covid NL covid UK coronacrisi,1
neg channel ke log posit aa rahe hain matlab corona badi tragedi h,-1
th march st posit case report ongol th april activ case got discharg th may On,1
guess bgm corona covid ayyapanumkoshiyum,1
what uncl ji say listen care coronaviru stayhom covid lockdown staysafestayhom corona covid,0
der schlimmst troll ever nuhr nuhrimersten nuhrzumkotzen love drosten merkel corona ht,1
what cook spiro margari On fintech corona amp futur insurtech VC AI,0
covid respons how To stay cyber secur when work from home cybersecur workfromho,0
latest data case fatal rate covid corona,-1
imagin think someon relat corona,0
beinghumbl thi backtothefutur noquarantineformind inittogeth corona ageofaquariu D greatawakeningworldwid medit stayhom lockdown wwg wgaworldwid ascens gcr darktolight gesara nothingishappen,-1
next spain itali corona spot hub indonesia singapor india octob month corona coronaviru extendlockdown covid ramadan,1
,0
not stop intern flight main reason behind corona spread modigovtfailedlockdown modimadedisast,-1
you know frighten corona life may lost mani beauti thing life might lost ever gocoronago pleas,1
who said indian creativ india corona,-1
hank interpret translat fight barrier amp continu assist peopl need pandem situat remot servic covid coronaviru corona viru coronav coronavirusoutbreak pandem epidem homelandlanguageservic,1
china go war first corona second nuclear,0
min silenc u final year student rtmnu exam corona,0
when indian student take back india russia wait fli backtoindia corona,-1
corona flu viru iter everi year We hear covid autumn don T fall for the SE,1
corona stayhomestaysaf disinfect oversea indian come home v migrant walk home hunger statvat baref,0
thi report show kerala prepar welcom nri returne the effici govt enabl level,-1
dear CM pleas bring peopl outsid odisha state without test pleas put whole odisha corona trap pleas,1
verifi itali popul crore done lakh test india popul crore,1
stay safe stay healthi besuperhero stayathom bestrong corona stayhom withm quarentineandchil imdoingfinebecau safehand flattenthecurv positivemind indiafightscorona hospit bangalorequarantin,1
the import unansw question access person data control usag wha,1
read prof clau leggewi write scienc blog corona sustain compass,1
such beauti day but bicycl belov amsterdam quiet citi still get corona,1
ead prof clau leggewi write scienc blog corona sustain compass uba econom restart corona crisi sustain environ economi,1
guy love sir then watch song corona staysaf stayathom youtub link,1
On backslid democraci poland hungari warn corona distract attent I,-1
corona lockdown past A cop instantli wield lathi doctor duti rider identifi respond you said first concept courtesi kakitham rajan,1
omorrow europeday the ecc net legal expert help free cross border consum issu even amp especi corona europeanagainstcovid eusolidar yearseccnet,1
modi sarkaar wait feb warn govt corona perform event namastetrump again modi govt took anoth day public curfew form govt MP,-1
startup initi launch india first kill corona disinfec,-1
th march st posit case report ongol th april activ case got discharg th may onli one activ case remain got discharg great work prakasam district doctor collector amp SP ongol prakasam corona,1
nearli covid patient chennai trade centr facil stage protest thursday alleg inadequ care,-1
corona lockdown the tasmac liquor shop near bu stand crowd Go announc cop loudspeak see next tweet thread,-1
omgfin daili new arab bank switzerland lead major seri A swiss digit asset firm tauru Re,1
do phd corona time appear ever increasingli daunt task write phd student stefan rey corona promoveren,1
white rabbit confirm juan O savin whitehat tag adrenochrom corona viru boom hollyw,1
happi love corona coronaviru koronawiru koronawiruspolska koronowiruspolska korona wtyle,1
china report one new covid case zero fatal china coronapandem covid outbreak covid covid pandem ncov viruscorona fightcovid corona coronacrisi coronaviru coronavirusoutbreak coronaviruspandem,-1
break south korea report case new coronaviru total death toll stay,1
I think govt work mission majdur forget big industri need majdur majdur dont return work big compani govt dont plan majdur mani plan nri extendlockdown india corona,1
pleas avoid drink corona If someth wrong anybodi save S T A Y H O M E S T A Y S A,-1
final transport migrantwork MP free huge distanc perman protect corona didnt charg anyth transport bengali say rail isnt pay ticket shut,-1
how covid corona affect social routin daniela Kr ger I describ social support,1
An interest view cluster member prof andrea behrend situat seneg chad,1
An interest view cluster member prof andrea behrend situat seneg chad light corona crisi africamultipl covid,1
join webinar environ impact assess th may AM PM visit reg,0
A new corona podcast prof onlin today topic yesterday press confer new hygien guidelin fau listen,1
hair transplant women hairtranspl hairrestor hairclin hairspecialist hairlosstreat hairstyl hairtransplantforwomen tricho hairtranspl staysaf savel coronaviru corona viru viru cov coronavid covod,-1
corona peopl guna right,0
thi safeti measur donoteat wrost corona wrostwork,1
On worldredcrossday gratitud volunt work tirelessli selflessli throughout world corona menac covid,1
corona dri human bodi avail growth covid,1
drive In test locat allow test outdoor when test come wait car perhap modern hospit world corona hometown,1
don let pandem stop preserv summer check pandem strawberri jam recip jammak recip recip strawberryjam covid corona pandem quarantin,-1
onli day left sp smart product solut tradeshow nuremberg open door As mani trad,1
well job done realli appreci effort tough time singh rao stayhom staysaf corona,-1
disgust blue tick twitter verifi account million follow spread blatant lie thi footag spanish hospit month ago how allow remov blue tick corona covid,1
popular front india legal action hate monger covid corona hatespeech,-1
rahulgandhi ji give suggest nation abl manag corona crisi better way hi PC today offer concret step help u steer difficult time rahulfightsforindia,1
question everywher answer discuss adda discuss Mi commun extendlockdown covid coronaviru corona folloforfolloback,-1
If muslim you go ND buy essenti food famili corona lockdown stoptargetingmuslim islamophobia In india,-1
here chief medic offic UK admit record death corona even dead te,-1
special tune stay connect taichi exercis challeng art draw bear owl white crane anim viru corona crisi spring dayproject instaart instadaili instaartist,-1
rahulgandhi ji give suggest nation abl manag corona crisi better,1
My wish visit famili wish famili merafamili pray corona vaccin covid safetyfirststar sonamkapoor veday kehlani aurangabad aurangabadtrainaccid durk freewoman,-1
go viral lockdown covid extendlockdown fridaymorn ramadan corona jummahmubarak,1
dutch trace app soap opera lesson europ alic stollmey marietj schaak frank dignum corona gdpr,0
look heavi unhealthi patient live patient stake advertis mental self prais propaganda tablighijamaat corona boycotthalalproduct,-1
impact OF coronaviru ON digit market read full blog corona coronaviru covid coron,1
dutch trace app soap opera lesson europ alic stollmey marietj schaak frank dignum corona gdpr,0
rahulgandhi ji give suggest nation abl manag corona crisi better way hi PC today offer concret step help u steer difficult time rahulfightsforindia,1
enough Of thi lockdown brief putin did wht He Is best At play with hi pen think hell yeah wht the,1
move coc coi covid crisi covid,-1
who handl pendem batter way voiceofeduc fullmoon vizaggasleaktragedi extendlockdown fridaymorn moth,0
coronaviru switzerland statist retail sale fell march due pandem coronaviru corona covid covid coronainfoch covid switzerland retail statist,0
aap govern delhi india corona indiafightscorona delhifightscorona govern care,0
thank tip the biweekli corona updat inde great addit list In,1
thank stupid ambassador thank censorship We use censorship china facebook instagram,-1
hello thi dimpl ahluwalia vadodara gujarat I alway sport sinc start I use particip everi sport whether kho kho khabbadi athlet mygamemystori mgf mumbaigirlsfootbal supermoon covid corona covid,-1
democrat amp republican better declar nd time corona understa,1
omgfin daili new btc top recoveri leav stock market dust read more,1
onli dare fail greatli ever achiev greatli failur word motiv inspir corona extendlockdown quoteoftheday quotetopond entreprenu successtip,1
migrant worker crush death rail track aurangabad post independ polit india centr ar,-1
let fight corona stayhom staysaf covid lockdown sale flat off use code covid car rider accessori caraccessoriesshop caraccessori bobo phonehold mount bikemount carmount sunshad,-1
present rendit pal pal dil Ke paa cheer tough time had great time arrang beauti track Go show love suryansh palpaldilkepaa covid stayhom coronaviru coronawillendsoon corona,1
